Sample in Buffer,Sample in Window,TRIGGER,cpu/inst[31:0],cpu/pc[31:0],cpu/clk,cpu/SI_Reset_N,cpu/lock,cpu/counter[26:0],cpu/IO_Switch[15:0],cpu/IO_LED[15:0],cpu/dbg_resetn_cpu,cpu/dbg_imem_we,cpu/dbg_imem_addr[31:0],cpu/dbg_imem_din[31:0],cpu/dbg_dmem_ce,cpu/wpcir,cpu/dbg_dmem_addr[31:0],cpu/dbg_dmem_din[31:0],cpu/dbg_halt_cpu,cpu/IO_7SEGEN_N[7:0],cpu/IO_7SEG_N[6:0],cpu/npc[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0005a283,0000001c,0,1,1,0bc0166,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
1,1,0,00552023,00000020,1,1,1,0bc0167,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
2,2,0,00552023,00000020,0,1,1,0bc0167,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
3,3,0,00552023,00000020,1,1,1,0bc0168,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
4,4,0,00552023,00000020,0,1,1,0bc0168,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
5,5,0,00552823,00000024,1,1,1,0bc0169,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
6,6,0,00552823,00000024,0,1,1,0bc0169,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
7,7,0,ff5ff06f,00000028,1,1,1,0bc016a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
8,8,0,ff5ff06f,00000028,0,1,1,0bc016a,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
9,9,0,00000000,00000018,1,1,1,0bc016b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
10,10,0,00000000,00000018,0,1,1,0bc016b,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
11,11,0,0005a283,0000001c,1,1,1,0bc016c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
12,12,0,0005a283,0000001c,0,1,1,0bc016c,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
13,13,0,00552023,00000020,1,1,1,0bc016d,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
14,14,0,00552023,00000020,0,1,1,0bc016d,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
15,15,0,00552023,00000020,1,1,1,0bc016e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
16,16,0,00552023,00000020,0,1,1,0bc016e,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
17,17,0,00552823,00000024,1,1,1,0bc016f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
18,18,0,00552823,00000024,0,1,1,0bc016f,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
19,19,0,ff5ff06f,00000028,1,1,1,0bc0170,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
20,20,0,ff5ff06f,00000028,0,1,1,0bc0170,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
21,21,0,00000000,00000018,1,1,1,0bc0171,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
22,22,0,00000000,00000018,0,1,1,0bc0171,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
23,23,0,0005a283,0000001c,1,1,1,0bc0172,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
24,24,0,0005a283,0000001c,0,1,1,0bc0172,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
25,25,0,00552023,00000020,1,1,1,0bc0173,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
26,26,0,00552023,00000020,0,1,1,0bc0173,0000,0000,1,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,00000024
27,27,0,00552023,00000020,1,1,1,0bc0174,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
28,28,0,00552023,00000020,0,1,1,0bc0174,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000024
29,29,0,00552823,00000024,1,1,1,0bc0175,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
30,30,0,00552823,00000024,0,1,1,0bc0175,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000028
31,31,0,ff5ff06f,00000028,1,1,1,0bc0176,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
32,32,0,ff5ff06f,00000028,0,1,1,0bc0176,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000018
33,33,0,00000000,00000018,1,1,1,0bc0177,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
34,34,0,00000000,00000018,0,1,1,0bc0177,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,0000001c
35,35,0,0005a283,0000001c,1,1,1,0bc0178,0000,0000,1,0,00000000,00000000,0,1,00000000,00000000,0,ef,01,00000020
