Sample in Buffer,Sample in Window,TRIGGER,sc_interrupt_sys/inst[31:0],sc_interrupt_sys/pc[31:0],sc_interrupt_sys/SI_ClkIn,sc_interrupt_sys/SI_Reset_N,sc_interrupt_sys/lock,sc_interrupt_sys/counter[26:0],sc_interrupt_sys/IO_Switch[15:0],sc_interrupt_sys/IO_LED[15:0],sc_interrupt_sys/dbg_imem_cs,sc_interrupt_sys/dbg_imem_we,sc_interrupt_sys/dbg_imem_addr[31:0],sc_interrupt_sys/dbg_imem_din[31:0],sc_interrupt_sys/dbg_dmem_cs,sc_interrupt_sys/dbg_dmem_we,sc_interrupt_sys/dbg_dmem_addr[31:0],sc_interrupt_sys/dbg_dmem_din[31:0],sc_interrupt_sys/dbg_halt_cpu,sc_interrupt_sys/IO_7SEGEN_N[7:0],sc_interrupt_sys/IO_7SEG_N[6:0],sc_interrupt_sys/intr
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,00552023,000000f8,1,1,1,323af3c,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
1,1,0,00552023,000000f8,0,1,1,323af3c,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
2,2,0,00552823,000000fc,1,1,1,323af3d,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
3,3,0,00552823,000000fc,0,1,1,323af3d,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
4,4,0,34202373,00000008,1,1,1,323af3e,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
5,5,0,34202373,00000008,0,1,1,323af3e,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
6,6,0,00f37393,0000000c,1,1,1,323af3f,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
7,7,0,00f37393,0000000c,0,1,1,323af3f,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
8,8,0,02000e13,00000010,1,1,1,323af40,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
9,9,0,02000e13,00000010,0,1,1,323af40,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
10,10,0,01c383b3,00000014,1,1,1,323af41,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
11,11,0,01c383b3,00000014,0,1,1,323af41,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
12,12,0,0003a383,00000018,1,1,1,323af42,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
13,13,0,0003a383,00000018,0,1,1,323af42,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
14,14,0,00038067,0000001c,1,1,1,323af43,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
15,15,0,00038067,0000001c,0,1,1,323af43,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
16,16,0,00000013,00000024,1,1,1,323af44,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
17,17,0,00000013,00000024,0,1,1,323af44,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
18,18,0,30200073,00000028,1,1,1,323af45,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
19,19,0,30200073,00000028,0,1,1,323af45,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
20,20,0,00552823,000000fc,1,1,1,323af46,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
21,21,0,00552823,000000fc,0,1,1,323af46,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
22,22,0,34202373,00000008,1,1,1,323af47,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
23,23,0,34202373,00000008,0,1,1,323af47,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
24,24,0,00f37393,0000000c,1,1,1,323af48,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
25,25,0,00f37393,0000000c,0,1,1,323af48,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
26,26,0,02000e13,00000010,1,1,1,323af49,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
27,27,0,02000e13,00000010,0,1,1,323af49,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
28,28,0,01c383b3,00000014,1,1,1,323af4a,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
29,29,0,01c383b3,00000014,0,1,1,323af4a,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
30,30,0,0003a383,00000018,1,1,1,323af4b,0000,0000,0,0,00000000,00000000,0,0,00000000,00000000,0,ef,01,1
